"","corrupción"
"recién",-0.00102181004216211
"creada",-0.0512838323674404
"comisión",-0.020297306469953
"intersectorial",-0.0212680768314698
"solucionar",0.00373570484471943
"cuellos",-0.0212680768314698
"botella",0.0229444964411154
"declaró",0.00798043021069423
"sociedad",-0.0669078625950099
"activos",-0.0406302175142076
"especiales",0.0347524117469479
"depende",-0.0272449739467202
"ejercer",-0.0565411229186106
"funciones",0.00261136112155681
"policía",0.0243240888668021
"recuperar",0.0032980221313074
"menester",-0.0212680768314698
"relación",-0.0304727639675829
"predios",-0.0249617690731007
"rurales",-0.0501780631833768
"pasará",-0.0286454724452071
"tierras",-0.00571782788452484
"fondo",0.0637719364989468
"recursos",-0.00655829917356019
"mantendrá",-0.0269538461584189
"rama",0.0357639593668054
"judicial",0.00525917949631876
"dependerá",-0.0350517444131431
"ejecutado",-0.038194481319862
"restante",-0.0321708461529082
"destinará",-0.0212680768314698
"porciento",-0.0212680768314698
"potenciar",-0.0284059806438823
"investigaciones",0.0594281767311846
"fortalecer",0.0285528499662132
"infraestructura",0.0201638039795918
"penitenciaria",-0.0252934453128063
"carcelaria",-0.0362297972513094
"destinatarios",-0.0212680768314698
"características",-0.0440379218788375
"llamativas",-0.0212680768314698
"encargados",-0.0424735334017666
"asumir",-0.016157237717713
"responsabilidad",0.00634648374009172
"cuidado",-0.00848305218495757
"correcto",-0.00947835101666551
"garantizar",-0.105508607665146
"pierdan",-0.00349916438996151
"dañen",-0.0212680768314698
"deterioren",-0.0212680768314698
"finalmente",-0.0708837220183083
"aseveró",-0.00239936186795311
"damos",-0.0259921658247861
"dientes",-0.0265992229692745
"capacidad",-0.0160217330513708
"combatir",0.0727456873464196
"crimen",0.00621596580181244
"organizado",0.00131580441242334
"narcotráfico",0.00612962613788093
"recibimos",-0.0309691325572869
"incentivo",-0.0257541474445913
"amistoso",-0.0178620292830527
"españa",0.0385436731838459
"ramón",-0.0354723090718493
"jesurún",-0.0178620292830527
"diario",-0.0377155874011718
"as",-0.0242572808525634
"reveló",-0.000547734034585489
"documento",-0.0181853373590633
"evidencia",0.00310882064509547
"conversaciones",-0.0395967492612421
"telefónicas",-0.0346764817983578
"aparecen",0.00859702032185414
"puntual",-0.0224916839827989
"federación",-0.00191042915587169
"colombiana",0.015564071444038
"fútbol",0.0485601391486135
"colfútbol",-0.0178620292830527
"alejandro",-0.0265031897910365
"hernández",-0.0243328725512883
"vocal",-0.0178620292830527
"ejecutivo",0.00539835813725606
"española",0.0108212729685522
"ángel",-0.0149795250547858
"maría",-0.0345513515112945
"villar",0.00581139167708255
"hijo",-0.0492630114489321
"gorka",-0.0394219602715549
"padrón",-0.0224227536852063
"vicepresidente",0.0108559714224585
"organismo",-0.0168590493682029
"detenidos",0.0311668232367313
"martes",-0.0300562645281376
"operación",-0.0565787318918495
"apartes",-0.0291085485059238
"supuesta",0.0100109838938457
"complicidad",-0.0479332035986554
"directivos",-0.0138087999290331
"colombia",0.0502240907781287
"raíz",-0.025158355055988
"partido",-0.140730984294188
"juego",-0.0718270924535471
"único",-0.0559275153575174
"pagaron",-0.0296463449860147
"transporte",-0.0397699066573474
"interno",-0.0321160771601583
"hotel",-0.0124485379673482
"selección",-0.0333615740096922
"caracol",-0.0100777230160454
"radio",0.00593964044346005
"defendió",-0.002574377858894
"acusación",-0.0180545515794177
"trato",-0.0307885261622509
"directamente",-0.0661256896366693
"obvias",-0.0178620292830527
"partidos",-0.0168316130099421
"amistosos",-0.0178620292830527
"traté",-0.0217431957562604
"llamó",-0.0120151650203126
"señor",-0.0987191982210835
"localizó",-0.0178620292830527
"padre",-0.0123500858553597
"necesitaba",-0.0368643472981023
"podíamos",-0.0178620292830527
"honorarios",-0.0390882752095728
"simplemente",-0.0509167695561198
"pedí",-0.0243309433609966
"preguntará",-0.0178620292830527
"éxito",-0.0340373228103169
"terminamos",-0.0178620292830527
"asumiendo",-0.0056015873998814
"gastos",-0.043696764580558
"directivo",-0.00380274453751955
"colombiano",-0.0327241863498949
"aclaró",-0.0613960083646678
"efectivamente",-0.0436330198526444
"ambas",-0.0344437258452232
"federaciones",-0.0268956459469699
"relaciones",-0.0558625487684368
"contractuales.según",-0.0178620292830527
"periodo",-0.033145146524839
"bedoya",-0.00203588039672002
"aspiración",-0.0214498220425698
"hiciera",-0.0178620292830527
"contrato",-0.0605333084198543
"contemplamos",-0.0178620292830527
"puntualizó",-0.0468124684121597
"candidatos",-0.0373977258752411
"violen",-0.0192047427391974
"topes",-0.0289008988027531
"financiación",0.0310201885121337
"promuevan",-0.0290946701867401
"compra",-0.0158028055016658
"plantea",-0.0507254336169977
"penas",0.00815932967808184
"gerente",0.0193452710463759
"candidato",-0.0239638737474932
"administrador",-0.0220707148816725
"auditor",-0.0141393592175511
"campañas",0.0169497413570561
"electorales",0.00852856284606429
"superen",-0.0200817904058725
"máximos",-0.0379511347533852
"pillados",-0.0192047427391974
"promoviendo",-0.0315940439726997
"comprando",-0.0192047427391974
"planteó",-0.0429976402364076
"proyecto",-0.0236752587144512
"radicó",-0.0200487332927719
"presidio",-0.0260279354801067
"implantar",-0.0255633260232177
"particulares",-0.0244333378495725
"financien",-0.0192047427391974
"mesa",-0.037897586925024
"familiares",0.0110321055158669
"miembros",-0.0185615355117563
"campaña",-0.0282881241143671
"elecciones",-0.0338614534839368
"sorprendidos",-0.026431916603434
"sumas",-0.0367486980763743
"superiores",-0.0405711706441096
"permitidas",0.00648660686473959
"normas",-0.00278945461809931
"presume",-0.0387421876646543
"plata",-0.00296852598106896
"comprar",-0.0116972595910456
"neira",-0.0702724466889035
"iniciativa",-0.0204317922754812
"instaurar",-0.0264652803550782
"instrumentos",-0.00168618268083164
"eficazmente",0.00100589107940246
"efecto",-0.0344859298118688
"contiene",-0.0276194148776002
"procesales",-0.0272778589995375
"facilitar",-0.0402852161329671
"judicialización",-0.00927883759084015
"flagelo",-0.0182240662002221
"espera",-0.00985161922004155
"radicar",-0.0103854920253567
"comenzar",-0.0470874955355974
"legislatura",-0.0330881447710919
"ordinaria",0.00623129124235444
"presidencial",-0.000197347838805189
"siguientes",-0.114862062244091
"fundamentales",-0.0649699100213939
"arremetida",-0.0292722345972009
"uribe",-0.0547406514012846
"trinos",-0.0063841911069035
"respuesta",-0.0159905075391691
"simultánea",-0.0385440508233566
"discurso",0.00112313657088013
"instalación",-0.0425014688240318
"expresidente",0.038301570002761
"senador",-0.0282684023840702
"alvaro",-0.0848792831883233
"vélez",-0.009381898261793
"batió",-0.0250703913628925
"récord",-0.0146970601724663
"publicar",-0.0262110525497527
"inmediata",-0.0087683561317399
"iba",-0.0536984735079075
"pronunciando",-0.0210414675296015
"instalar",-0.0363029675342719
"ordinario",-0.0210414675296015
"sesiones",-0.0321401212638237
"precisamente",-0.0589174849881257
"tituló",-0.0310710246979795
"reacciones",0.00313301914920697
"airada",-0.0210414675296015
"intervención",0.0109007736326923
"concluyó",-0.0827747715154313
"pidiendo",-0.0263321288901619
"corporación",0.00510779582551215
"entregara",-0.0382225728617824
"mensaje",0.00060056584000726
"avergonzado",-0.0321897559558952
"dígale",-0.0210414675296015
"pido",-0.0329688134059748
"perdón",-0.0413627262618952
"elegir",-0.0267724619394059
"gobierno",-0.0225652658308822
"convertido",-0.0421930953070118
"oveja",-0.0250417245629234
"negra",-0.0363942811694871
"discúlpeme",-0.0210414675296015
"vergüenza",-0.0215502728203226
"presidí",-0.0210414675296015
"instancia",0.0166629742947307
"publicamos",-0.0210414675296015
"continuación",-0.0737894510759422
"escribió",0.0610915859338263
"disidencias",-0.0302729835643965
"farc",-0.0628123170491239
"falta",-0.0221674214414933
"desarme",-0.0597276890523697
"entrega",-0.0250431833125325
"parcial",-0.0306365515264669
"armas",-0.0335128850202669
"paz",-0.0253659577344441
"claudicación",-0.0365736423488003
"terrorismo",-0.0685205748930212
"actos",0.0611999492446366
"extorsión",0.0293065465988458
"casos",0.128104033625157
"denunciados",-0.0414163982330931
"intimidada",-0.0210414675296015
"confianza",-0.0104626494525001
"democracia",-0.0191948467549881
"considerar",-0.0317399813001873
"válido",-0.0411061493975243
"contradictor",-0.0210414675296015
"grupo",-0.0355771276078712
"terrorista",-0.0180417006661969
"considerado",0.020579870176381
"actor",-0.010017802731439
"acuerdo",-0.0481363186507468
"tratado",-0.0425047240599792
"internacional",0.0365757936310251
"ganó",-0.0137969876737661
"plebiscito",-0.0344942679138805
"modificaron",-0.0210414675296015
"sustancial",-0.0363393174696747
"pidieron",0.0150087483453741
"mayorías",-0.0422068046578458
"desconocieron",-0.0294745690416255
"sustituyeron",-0.0210414675296015
"voto",-0.00667405841675523
"grave",0.00659648778353196
"irrespeto",-0.0301178265033166
"asesinato",-0.0416184137161659
"fuerza",-0.0191954728353627
"eln",-0.0209583177392608
"indulto",-0.0309670753074142
"anticipado",0.0171414656310487
"viven",-0.00593067194130017
"sometidos",-0.0354708736915596
"control",0.023241861989246
"territorial",-0.0262673624965222
"narco",-0.00915448094359249
"maltrato",-0.0268103481067641
"fuerzas",-0.0562879755891837
"armadas",-0.0359478891611558
"empieza",0.0351817568793334
"igualación",-0.0210414675296015
"sometimiento",-0.0356145789339543
"esfuerzo",-8.74428052401664e-05
"redujo",-0.0371340893366346
"gbno",-0.0540499090987915
"abrir",-0.0167140602858022
"camino",-0.0339297693286685
"venezuela",0.0152381985653851
"homicidios",-0.0205898460712306
"perdieron",-0.0307006546205945
"velocidad",-0.0210414675296015
"disminución",-0.033896677445622
"quiso",-0.0353944427383081
"contundencia",-0.0551006224972796
"bandas",-0.029200389182962
"someter",-0.056731233737454
"acción",-0.044886937578588
"estatal",0.0101006583051874
"consentimiento",-0.0235619711666869
"aumento",-0.00909212091885017
"narcoterrorismo",-0.0386609028997772
"drogadicción",-0.037706389899297
"constituyen",-0.0325404572703748
"mejoramiento",-0.0443187606207669
"frenó",-0.0272841114076999
"tendencia",-0.0425222812020091
"desempleo",-0.0288849805388563
"venía",0.00738289511060575
"gracias",-0.0222552649870065
"inversión",-0.0228811357837392
"maltrecha",-0.0210414675296015
"frenaron",-0.0210414675296015
"pobreza",0.0228058753014496
"extrema",-0.0066423082164426
"quebraron",-0.0210414675296015
"salud",0.000836104375702291
"liquidación",-0.00997304650307604
"saludcoop",-0.017849867616481
"politiquería",0.0272900280211297
"corrupta",-0.082490910351018
"caprecom",-0.0488411887433677
"reaparece",-0.0210414675296015
"deserción",-0.0210414675296015
"universitaria",-0.0270392497036415
"endeudamiento",-0.0345343870720943
"sector",-0.012493287335106
"público",-0.0398572859937589
"consolidado",-0.0210414675296015
"pib",-0.0092582623628696
"deja",-0.029556509358094
"petróleo",-0.0177028314687444
"escasos",-0.0317412780699081
"búsqueda",-0.0314347958521883
"suficiente",0.0234759545940656
"reducido",-0.0409601595222013
"ritmo",-0.0431562763754905
"construcción",-0.0264910385987158
"vivienda",-0.0418283549517835
"caído",-0.00295707302296245
"formación",-0.000151297047552647
"bruta",-0.0345343870720943
